vid,Woord,id
40016001,13,7
40016006,10,7
40016011,7,7
40016011,13,7
40016012,8,7
40016012,14,7
40016019,14,7
40016019,26,7
40016021,19,7
40016027,15,7
40017003,10,7
40017005,13,7
40017009,5,7
40017009,23,7
40017012,27,7
40017013,7,7
40017017,16,7
40017018,9,7
40017018,17,7
40017025,22,7
40017025,28,7
40017025,33,7
40017026,5,7
40017026,10,7
40017027,29,7
40018007,5,7
40018007,19,7
40018008,17,7
40018009,13,7
40018012,14,7
40018016,7,7
40018016,14,7
40018018,8,7
40018018,19,7
40018019,10,7
40018019,12,7
40018019,15,7
40018019,23,7
40018023,15,7
40018035,18,7
40019001,12,7
40019004,11,7
40019008,18,7
40019010,13,7
40019012,6,7
40019012,16,7
40019017,9,7
40019024,10,7
40019028,24,7
40020002,4,7
40020002,7,7
40020008,22,7
40020011,5,7
40020020,10,7
40020020,18,7
40020021,19,7
40020021,23,7
40020023,12,7
40020023,16,7
40020023,25,7
40020024,7,7
40020028,18,7
40021002,18,7
40021004,10,7
40021007,10,7
40021008,17,7
40021016,18,7
40021019,6,7
40021019,26,7
40021025,8,7
40021025,11,7
40021025,21,7
40021026,5,7
40021031,3,7
40021042,21,7
40021043,8,7
40021045,14,7
40022016,8,7
40022016,29,7
40022031,13,7
40022035,5,7
40022042,6,7
40022044,8,7
40022046,11,7
40023002,3,7
40023007,10,7
40023009,7,7
40023025,20,7
40023033,7,7
40023034,14,7
40023034,20,7
40023034,29,7
40023035,11,7
40023035,14,7
40024001,6,7
40024003,5,7
40024009,13,7
40024017,3,7
40024017,10,7
40024021,10,7
40024027,7,7
40024029,25,7
40024030,28,7
40024030,33,7
40024031,7,7
40024031,16,7
40024031,20,7
40024038,10,7
40024038,20,7
40024045,14,7
40024049,12,7
40024051,9,7
40025002,4,7
40025003,11,7
40025004,10,7
40025008,10,7
40025010,13,7
40025019,15,7
40025021,17,7
40025023,16,7
40025028,4,7
40025029,18,7
40025031,18,7
40025031,22,7
40025032,12,7
40025032,20,7
40025033,7,7
40025033,13,7
40025034,7,7
40025034,21,7
40025041,6,7
40025041,9,7
40026007,11,7
40026011,7,7
40026012,8,7
40026018,28,7
40026020,6,7
40026021,11,7
40026023,8,7
40026024,10,7
40026024,17,7
40026027,12,7
40026028,12,7
40026029,11,7
40026029,24,7
40026036,4,7
40026038,16,7
40026039,18,7
40026040,21,7
40026042,3,7
40026042,15,7
40026044,8,7
