id,sid,van,tot,cl,tekst
348,35,65001005,65001010,s60p,"<span>1:-5-10</span> <b>Ongelovigen.</b> Sodom, Gomorrah enz."
349,35,65001011,65001016,s60p,"<span>1:11-16</span> <b>Ongelovigen.</b> Kaïn, Bileam, Korah, enz."
350,35,65001017,65001017,s45p,<span>1:17</span> <b>Herinneringen.</b> Verklaringen van apostelen
351,35,65001018,65001019,s30p,<span>1:18-19</span> <b>Oneerbiedigheid.</b> Spotters
352,35,65001020,65001023,s15p,<span>1:20-23</span> <b>Vermaning.</b> Opbouwen in geloof
353,35,65001024,65001025,s0p,<span>1:24-25</span> <b>Brief.</b> Toeschrijving
354,36,,,,LITERAIRE STRUCTUUR
355,36,66001001,66001003,s0p,<span>1:1-3</span> <b>Introductie - slot.</b> Komt (zegen)
356,36,,,,"<font color=""#FF0000"">DAG VAN JAHWEH</font> (dag des Heren)"
357,36,66001004,66003022,s15p,<span>1:4 - 3:22</span> <b>Profeet.</b> Ecclesia (beloning van daden)
358,36,66004001,66011018,s30p,<span>4:1 - 11:18</span> <b>Vorst.</b> De troon (politiek)
359,36,66011019,66020015,s45p,<span>11:19 - 20:15</span> <b>Priester.</b> De tempel (religieus)
360,36,,,,"<font color=""#FF0000"">DAG VAN JAHWEH</font> (dag des Heren)    <br>    <br><font color=""#FF0000"">DAG VAN GOD</font>"
361,36,66021001,66021027,s45p,<span>21:1-27</span> <b>Priester.</b> De tempel (religieus)
362,36,66022001,66022005,s30p,<span>22:1-5</span> <b>Vorst.</b> De troon (politiek)
363,36,66022006,66022017,s15p,<span>22:6-17</span> <b>Profeet.</b> Ecclesia (Loon voor werken)
364,36,,,,"<font color=""#FF0000"">DAG VAN GOD</font>"
365,36,66022018,66022021,s0p,<span>22:18-21</span> <b>Introductie - slot.</b> (Vloek) komt
366,9,,,,PAULUS' BRIEVEN    <br><b>DE VOORBEREIDENDE BRIEVEN</b>    <br><i>GELOOF</i>    <br>
367,9,45001001,45016027,spn,ROMEINEN
368,9,,,,"<div class=""nspn"" style=""margin-left: 12px;"">- Rechtvaardiging    <br>- Verzoening    <br>- Gedrag    </div>    <br>"
369,9,46001001,46016024,spn,1 Korinthiërs - Gedrag
370,9,,,,<br>
371,9,47001001,47013014,spn,2 Korinthiërs - Verzoening
372,9,,,,<br>
373,9,48001001,48006018,spn,GALATEN - Rechtvaardiging
374,9,,,,<br><br><b>DE VOLKOMENHEIDS BRIEVEN</b>    <br><i>LIEFDE</i>
375,9,49001001,49003021,s0p,"EFEZE 1-3, Leer-Het lichaam: de leden"
376,9,49004001,49006024,s30p,EFEZE 4-6 Gedrag
377,9,50001001,50004023,s30p,"FILIPPENZEN, Gedrag"
378,9,51001001,51004018,s0p,"KOLOSSENZEN, 	Leer-het lichaam: het Hoofd"
379,9,,,,<br><br><b>DE BELOFTE BRIEVEN</b>    <br><i>VERWACHTING</i>    <br>
380,9,52001001,52005028,spn,1 Thessalonicenzen
381,9,,,,<br>
382,9,53001001,53003018,spn,2 Thessalonicenzen
383,9,,,,<br><br><b>DE PERSOONLIJKE BRIEVEN</b>    <br>
384,9,54001001,54006021,spn,1 Timotheüs
385,9,,,,<br>
386,9,55001001,55004022,spn,2 Timotheüs
387,9,,,,<br>
388,9,56001001,56003015,spn,Titus
389,9,,,,<br>
390,9,57001001,57001025,spn,Filemon
