parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
W-Ho-Pf-1OE,W-GHCPA-1OE,W,Ho,Pf,G,H,C,P,A,1,O,E,NULL,NULL
W-Ho-Pp-MEC,W-GGCPD-MEC,W,Ho,Pp,G,G,C,P,D,NULL,M,E,C,NULL
W-Ho-Pp-MMC,W-GGCPD-MMC,W,Ho,Pp,G,G,C,P,D,NULL,M,M,C,NULL
W-Ho-Ip-3VE,W-GOCPA-3VE,W,Ho,Ip,G,O,C,P,A,3,V,E,NULL,NULL
W-Ho-Pf-2MM,W-GHCPA-2MM,W,Ho,Pf,G,H,C,P,A,2,M,M,NULL,NULL
W-Hi-Im-2VM,W-GGCAG-2VM,W,Hi,Im,G,G,C,A,G,2,V,M,NULL,NULL
W-Pi-Ju-2ME,W-GGVAW-2ME,W,Pi,Ju,G,G,V,A,W,2,M,E,NULL,NULL
W-Pi-Pf-2VE,W-GHVAA-2VE,W,Pi,Pf,G,H,V,A,A,2,V,E,NULL,NULL
D-ME,D-ME,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,NULL,NULL
W-Pu-Ip-2MM,W-GOVPA-2MM,W,Pu,Ip,G,O,V,P,A,2,M,M,NULL,NULL
W-Pu-Pp-VMA,W-GGVPD-VMA,W,Pu,Pp,G,G,V,P,D,NULL,V,M,A,NULL
P-3VM,P-3VM,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,V,M,NULL,NULL
W-Ni-Ju-2MM,W-GGGOW-2MM,W,Ni,Ju,G,G,G,O,W,2,M,M,NULL,NULL
W-Ni-Ju-2ME,W-GGGOW-2ME,W,Ni,Ju,G,G,G,O,W,2,M,E,NULL,NULL
W-Nt-Pf-3ME,W-GHVRA-3ME,W,Nt,Pf,G,H,V,R,A,3,M,E,NULL,NULL
N-MEA,N-MEA-P,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,A,P
N-OEA,N-OEA-L,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,A,L
W-Pi-Co-1OM,W-GGVAV-1OM,W,Pi,Co,G,G,V,A,V,1,O,M,NULL,NULL
W-Pu-Ip-3VM,W-GOVPA-3VM,W,Pu,Ip,G,O,V,P,A,3,V,M,NULL,NULL
W-Qa-Ap-3VE,WO-GVGAA-3VE,W,Qa,Ap,G,V,G,A,A,3,V,E,NULL,NULL
W-Hp-Ic-3VE,W-VGVRA-3VE,W,Hp,Ic,V,G,V,R,A,3,V,E,NULL,NULL
W-Pi-Ju-2VE,W-GGVAW-2VE,W,Pi,Ju,G,G,V,A,W,2,V,E,NULL,NULL
W-Pp-Pf-3ME,W-GHVAA-3ME,W,Pp,Pf,G,H,V,A,A,3,M,E,NULL,NULL
W-Pi-Ip-2VE,W-GOVAA-2VE,W,Pi,Ip,G,O,V,A,A,2,V,E,NULL,NULL
W-Hp-Ip-3VM,W-GOVRA-3VM,W,Hp,Ip,G,O,V,R,A,3,V,M,NULL,NULL
W-Qa-Pa-VMC,W-GGGAD-VMC,W,Qa,Pa,G,G,G,A,D,NULL,V,M,C,NULL
P-2MM,P-2MM,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,M,M,NULL,NULL
W-Hi-Ic-1OE,W-VGCAA-1OE-L,W,Hi,Ic,V,G,C,A,A,1,O,E,NULL,L
W-Hp-Ip-2VE,W-GOVRA-2VE-N,W,Hp,Ip,G,O,V,R,A,2,V,E,NULL,N
E-OEA,E-OEA-P,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,A,P
E-MMA,E-MMA,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,A,NULL
E-VEA,E-VEA-L,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,L
E-MMA,E-MMA-L,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,A,L
A-MEE,A-MEE,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,E,NULL
