vidvan,vidtot,textid,referentie
27012011,27012011,107,1055
66012006,66012006,107,1055
44003020,44003020,107,1060
44028026,44028027,107,1060
52001010,52001010,107,1060
3023005,3023006,107,1064
2012008,2012008,107,1064
3023007,3023007,107,1069
2012004,2012004,107,1070
54001015,54001015,107,1071
43013002,43013002,107,1071
40027003,40027003,107,1071
43006063,43006063,107,1072
24031032,24031032,107,1073
24032040,24032040,107,1073
26036024,26036030,107,1073
58008007,58008012,107,1073
58010015,58010017,107,1073
2024008,2024008,107,1073
58009015,58009027,107,1073
43012006,43012006,107,1078
43013029,43013029,107,1078
26009003,26009003,107,1082
26010018,26010019,107,1082
26011023,26011023,107,1082
2003014,2003014,107,1084
43018036,43018036,107,1089
43019011,43019011,107,1089
43008044,43008044,107,1090
23053007,23053007,107,1091
43019019,43019019,107,1092
40027037,40027037,107,1092
41016038,41016038,107,1092
43019022,43019022,107,1092
5021023,5021023,107,1094
48003013,48003013,107,1094
23053010,23053010,107,1094
19022001,19022001,107,1095
54003016,54003016,107,1097
40028001,40028001,107,1098
23053009,23053009,107,1098
3023007,3023007,107,1102
41016020,41016020,107,1103
44028001,44028006,107,1103
39004005,39004005,108,1127
42001013,42001013,108,1126
3012003,3012003,108,1126
3012002,3012002,108,1126
47001020,47001020,108,1123
46015024,46015024,108,1121
40001020,40001020,108,1117
27009021,27009021,108,1115
27008016,27008016,108,1115
66011003,66011012,108,1113
40017010,40017010,108,1113
39004005,39004006,108,1113
38006012,38006012,108,1112
13024010,13024010,108,1108
44025013,44025013,108,1108
44012001,44012001,108,1108
42003001,42003001,108,1108
44026005,44026005,108,1107
43003007,43003007,108,1107
43003003,43003003,108,1107
40027051,40027051,108,1107
24003001,24003001,108,1146
28003003,28003003,108,1146
28002002,28002002,108,1146
9001020,9001020,108,1146
27009025,27009026,108,1143
3012008,3012008,108,1142
3012002,3012004,108,1142
43010007,43010007,108,1137
10019037,10019040,108,1133
33005002,33005002,108,1133
4018008,4018024,108,1154
1003016,1003016,108,1163
4027008,4027008,108,1163
40001012,40001012,108,1164
54002014,54002014,108,1167
40013053,40013058,108,1173
41006001,41006006,108,1173
42024001,42024002,108,1174
40017027,40017027,108,1186
40013047,40013047,108,1186
42003013,42003013,108,1193
33004004,33004004,108,1213
40023024,40023024,108,1211
40023016,40023016,108,1211
40015014,40015014,108,1211
66020007,66020010,108,1208
66019015,66019015,108,1208
26036026,26036026,108,1208
24031027,24031034,108,1208
54006017,54006019,108,1206
66018010,66018010,108,1206
66007013,66007017,108,1206
9021001,9021006,108,1200
42012001,42012001,108,1199
5023025,5023025,108,1199
3023006,3023008,108,1198
43019031,43019031,108,1198
49003009,49003009,108,1218
27012012,27012012,108,1219
27012002,27012002,108,1219
19008007,19008009,108,1259
43004039,43004042,108,1256
43004009,43004009,108,1256
23053007,23053007,108,1238
23053007,23053007,108,1238
41006020,41006026,108,1238
48003010,48003010,108,1275
5027026,5027026,108,1275
43004009,43004009,108,1275
3018005,3018005,108,1275
42011046,42011046,108,1275
42009040,42009040,108,1272
49001005,49001005,108,1280
42003014,42003021,108,1280
66020001,66020003,108,1283
42004024,42004030,108,1288
1004039,1004039,108,1295
62003012,62003012,108,1295
14024020,14024022,108,1295
38001001,38001001,108,1295
52005002,52005002,108,1312
50003020,50003020,108,1312
52005010,52005010,108,1313
46003015,46003015,108,1313
42002014,42002014,108,1316
23009006,23009007,108,1316
18042005,18042005,108,1319
40021019,40021019,108,1320
41011013,41011013,108,1320
40013031,40013032,108,1324
42012001,42012001,108,1324
42023008,42023008,108,1330
46003019,46003019,108,1334
40015024,40015024,108,1345
43010011,43010011,108,1345
44001008,44001008,108,1357
40023026,40023026,108,1368
42013019,42013019,108,1361
66006009,66006011,108,1374
52005017,52005017,108,1374
48003021,48003021,108,1379
42001001,42001001,108,1379
42024035,42024035,108,1379
42020029,42020034,108,1384
41010046,41010048,108,1384
42018018,42018018,108,1390
45004011,45004012,108,1391
48003007,48003007,108,1391
27009026,27009026,108,1396
38014004,38014004,108,1398
38009009,38009009,108,1399
27009025,27009025,108,1400
45013001,45013007,108,1410
5025005,5025006,108,1411
50002005,50002008,108,1414
66006003,66006004,108,1420
66006005,66006006,108,1420
66006007,66006008,108,1420
66006012,66006017,108,1424
66007002,66007017,108,1424
44003019,44003019,108,1427
60005006,60005006,108,1449
2012005,2012005,108,1436
43001029,43001029,108,1436
2012003,2012006,108,1436
4028016,4028017,108,1433
3023005,3023008,108,1430
66011015,66011015,108,1467
21012007,21012007,108,1470
44002027,44002027,108,1470
1003009,1003009,108,1470
23053009,23053009,108,1471
40028001,40028001,108,1474
43020001,43020019,108,1474
44020006,44020007,108,1474
46016002,46016002,108,1474
46016008,46016008,108,1474
3023015,3023015,108,1474
42016009,42016009,108,1474
40016021,40016023,108,1476
44002023,44002023,108,1476
19016009,19016010,108,1479
44002025,44002028,108,1479
40010005,40010008,108,1481
40028016,40028020,108,1481
44002038,44002038,108,1481
44010043,44010043,108,1481
44026018,44026018,108,1481
44013002,44013002,108,1481
44013038,44013039,108,1481
47005016,47005021,108,1481
51001015,51001017,109,1487
1001011,1001011,109,1488
19119025,19119025,109,1488
19119105,19119105,109,1488
23006001,23006001,109,1494
58002002,58002002,109,1494
2013003,2013003,109,1497
3004032,3004032,109,1497
3005006,3005006,109,1497
3014012,3014012,109,1497
3027038,3027038,109,1497
2003007,2003007,109,1497
3023011,3023011,109,1497
2012006,2012006,109,1497
