id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1951,טען,tá<sup>ʕ</sup>an,טענ,DOORSTOTEN,NULL,NULL,H
1952,נאץ,ná<sup>ʔ</sup>a<sup>t</sup>s,נאצ,SMADEN,NULL,NULL,H
1953,מעך,má<sup>ʕ</sup>ac<sup>h</sup>,מעכ,INDRUKKEN,NULL,NULL,H
1954,מוץ,m-w-<sup>t</sup>s,מוצ,PERSEN,NULL,NULL,H
1955,מץ,m-<sup>t</sup>s,מצ,KAF,NULL,NULL,H
1956,דקר,dáqar,דקר,STEKEN,NULL,NULL,H
1957,מרבק,m-r-b-q,מרבק,STAL,NULL,NULL,H
1958,רכשׁ,rác<sup>h</sup>as<sup>h</sup>,רכש,HENGST,NULL,NULL,H
1959,רקע,ráqa<sup>ʕ</sup>,רקע,PLATSLAAN,NULL,NULL,H
1960,רפס,ráfas,רפס,VERTRAPPEN,NULL,NULL,H
1961,רפסדות,r-p-s-d-w-t<sup>h</sup>,רפסדות,VLOT,NULL,NULL,H
1962,עמד,<sup>ʕ</sup>ámad,עמד,STAAN,NULL,NULL,H
1963,דגל,dágal,דגל,VAANDEL,NULL,NULL,H
1964,כבב,k-b-b,כבב,BRANDEN (sterren),NULL,NULL,H
1965,גמד,g-m-d,גמד,ONVRUCHTBAAR,NULL,NULL,H
1966,זמן,záman,זמנ,VASTSTELLEN,NULL,NULL,H
1967,יצב,já<sup>t</sup>sav,יצב,OPSTELLEN,NULL,NULL,H
1968,צב,<sup>t</sup>s-b,צב,GROTE+HAGEDIS,NULL,NULL,H
1969,צב,<sup>t</sup>s-b,צב,OVERDEKTE+WAGEN,NULL,NULL,H
1970,צבא,<sup>t</sup>sává<sup>ʔ</sup>,צבא,TEN+STRIJDE+TREKKEN,NULL,NULL,H
1971,צבה,<sup>t</sup>sáváh,צבה,OPZETTEN (zwellen),NULL,NULL,H
1972,צבי,<sup>t</sup>s-b-j,צבי,GAZELLE,NULL,NULL,H
1973,צבי,<sup>t</sup>s-b-j,צבי,PRACHT,NULL,NULL,H
1974,גנב,gánav,גנב,STELEN,NULL,NULL,H
1975,צחן,<sup>t</sup>s-<sup>c</sup>h-l,צחנ,BEDORVEN+STANK,NULL,NULL,H
1976,זיד,zájad,זיד,ZIEDEN,NULL,NULL,H
1977,יקשׁ,jáqas<sup>h</sup>,יקש,STRIKKEN,NULL,NULL,H
1978,קשׁה,qás<sup>h</sup>ah,קשה,HARD (moeilijk),NULL,NULL,H
1979,נקשׁ,náqas<sup>h</sup>,נקש,KNIKKEN,NULL,NULL,H
1980,קשׂוה,q-sׂ-w-h,קשוה,KAN,NULL,NULL,H
1981,קשׁקשׁת,q-s<sup>h</sup>-q-s<sup>h</sup>-t<sup>h</sup>,קשקשת,SCHUB,NULL,NULL,H
1982,קשׁ,q-s<sup>h</sup>,קש,STOPPEL,NULL,NULL,H
1983,קשׁא,q-s<sup>h</sup>-<sup>ʔ</sup>,קשא,KOMKOMMER,NULL,NULL,H
1984,קשׁת,q-s<sup>h</sup>-t<sup>h</sup>,קשת,BOOG,NULL,NULL,H
1985,דמם,dámam,דממ,STIL,NULL,NULL,H
1986,קטב,q-t-b,קטב,PRIKKEL,NULL,NULL,H
1987,קמושׂ,q-m-w-sׂ,קמוש,BRANDNETEL,NULL,NULL,H
1989,גר,g-r,גר,VREEMDELING,NULL,NULL,H
1990,יגר,jágar,יגר,BANG,NULL,NULL,H
1991,גרה,gáráh,גרה,STRIJD+WEKKEN,NULL,NULL,H
1992,gir,gir,gir,KALK,NULL,NULL,NULL
1993,גרגר,g-r-g-r,גרגר,RIJPEN (bessen),NULL,NULL,H
1994,גרגר,g-r-g-r,גרגר,KEELHOLTE,NULL,NULL,H
1995,גרר,gárar,גרר,SCHRAPEN (heen en weer),NULL,NULL,H
1996,גרן,g-r-l,גרנ,DORSVLOER,NULL,NULL,H
1997,יגר,jágar,יגר,STEENHOOP,NULL,NULL,H
1998,שׂהד,sׂ-h-d,שהד,GETUIGEN,NULL,NULL,H
2001,נגר,nágar,נגר,WEGVLOEIEN,NULL,NULL,H
2000,מגר,mágar,מגר,NEERSTORTEN,NULL,NULL,H
2002,טפשׁ,táfas<sup>h</sup>,טפש,GEVOELLOOS,NULL,NULL,H
2003,אבן,<sup>ʔ</sup>-b-l,אבנ,STEEN,NULL,NULL,H
2004,hbny,hbny,hbny,EBBEHOUT,NULL,NULL,NULL
2005,hdmw,hdmw,hdmw,BANK,NULL,NULL,NULL
2006,קרס,qáras,קרס,OMKNIKKEN,NULL,NULL,H
2007,נוח,nu<sup>c</sup>h,נוח,RUSTEN,NULL,NULL,H
2008,נחה,ná<sup>c</sup>háh,נחה,KEREN+NAAR,NULL,NULL,H
2009,נחה,ná<sup>c</sup>háh,נחה,LEIDEN,NULL,NULL,H
2010,נחת,ná<sup>c</sup>ha-t<sup>h</sup>,נחת,NEERKOMEN,NULL,NULL,H
2011,אסם,<sup>ʔ</sup>-s-m,אסמ,VOORRAAD,NULL,NULL,H
2012,זרם,záram,זרמ,UITSTORTEN,NULL,NULL,H
2013,ישׁר,jás<sup>h</sup>ar,ישר,RECHT,NULL,NULL,H
2014,שׁור,s<sup>h</sup>áwar,שור,MUUR,NULL,NULL,H
2015,שׁרשׁרה,s<sup>h</sup>-r-s<sup>h</sup>-r-h,שרשרה,KETTING,NULL,NULL,H
2016,יקע,jáqa<sup>ʕ</sup>,יקע,WEGDRAAIEN,NULL,NULL,H
2017,קוע,q-w-<sup>ʕ</sup>,קוע,KOA,NULL,NULL,H
2018,קעקע,q-<sup>ʕ</sup>-q-<sup>ʕ</sup>,קעקע,TATOEEREN,NULL,NULL,H
2019,תקע,táqa<sup>ʕ</sup>,תקע,STOTEN (geluid),NULL,NULL,H
2020,חנק,<sup>c</sup>hánaq,חנק,WURGEN,NULL,NULL,H
2021,תעע,tá<sup>ʕ</sup>a<sup>ʕ</sup>,תעע,GERINGSCHATTEN,NULL,NULL,H
2022,צבע,<sup>t</sup>sáva<sup>ʕ</sup>,צבע,VINGER,NULL,NULL,H
2023,צבע,<sup>t</sup>sáva<sup>ʕ</sup>,צבע,VERVEN,NULL,NULL,H
2024,נהר,náhar,נהר,STROOM,NULL,NULL,H
2025,גלשׁ,gálas<sup>h</sup>,גלש,NEERGOLVEN,NULL,NULL,H
2026,אטט,<sup>ʔ</sup>-t-t,אטט,ZACHTJES,NULL,NULL,H
2027,gidim,gidim,gidim,SCHIMMENBEZWEERDER,NULL,NULL,NULL
2028,idmy,idmy,idmy,LINNEN,NULL,NULL,NULL
2029,טוה,tuh,טוה,SPINNEN,NULL,NULL,H
2030,נטה,nátáh,נטה,STREKKEN,NULL,NULL,H
2031,יקה,j-q-h,יקה,GEHOORZAMEN,NULL,NULL,H
2032,קוה,quh,קוה,VERWACHTEN,NULL,NULL,H
2033,קוה,quh,קוה,BIJEENGAREN,NULL,NULL,H
2034,קוה,quh,קוה,KEWE,NULL,NULL,H
2035,קיא,qájá<sup>ʔ</sup>,קיא,BRAKEN,NULL,NULL,H
2036,קאת,q-<sup>ʔ</sup>-t<sup>h</sup>,קאת,DWERGOORUIL,NULL,NULL,H
2037,קו,q-w,קו,SNOER,NULL,NULL,H
2038,רפד,ráfad,רפד,ONDERLEGGEN,NULL,NULL,H
2039,פשׂע,pása<sup>ʕ</sup>,פשע,MARCHEREN,NULL,NULL,H
2040,גוף,guf,גופ,DICHTSLAAN,NULL,NULL,H
2041,נגף,nágaf,נגפ,TREFFEN,NULL,NULL,H
2042,אגף,<sup>ʔ</sup>-g-p,אגפ,TROEP (soldaat),NULL,NULL,H
2043,גף,g-p,גפ,RUG,NULL,NULL,H
2044,פשׁט,pás<sup>h</sup>at,פשט,AFSTROPEN,NULL,NULL,H
2045,שׁחץ,s<sup>h</sup>-<sup>c</sup>h-<sup>t</sup>s,שחצ,TROTS,NULL,NULL,H
2046,רמכה,r-m-k-h,רמכה,STOETERIJ,NULL,NULL,H
2047,כשׁל,kás<sup>h</sup>al,כשל,STRUIKELEN,NULL,NULL,H
2048,עקר,<sup>ʕ</sup>áqar,עקר,ROOIEN,NULL,NULL,H
2049,קלט,qálat,קלט,ONVOLGROEID,NULL,NULL,H
2050,קלט,qálat,קלט,VERWELKOMEN,NULL,NULL,H
2051,דהם,dáham,דהמ,VERBLUFFEN,NULL,NULL,H
2052,רדם,rádam,רדמ,VERDOVEN,NULL,NULL,H
2053,אבר,<sup>ʔ</sup>ávar,אבר,GEWELDIG (machtig),NULL,NULL,H
2054,אבר,<sup>ʔ</sup>ávar,אבר,WIEK,NULL,NULL,H
2055,אול,<sup>ʔ</sup>-w-l,אול,VOOROPGAAN,NULL,NULL,H
2056,אול,<sup>ʔ</sup>-w-l,אול,GOD ( > VOOROPSTAANd),NULL,NULL,H
2057,אלה,<sup>ʔ</sup>áláh,אלה,DEZE (mv),NULL,NULL,H
2058,אל,<sup>ʔ</sup>-l,אל,NAARTOE,NULL,NULL,H
2059,אלה,<sup>ʔ</sup>áláh,אלה,WENEN,NULL,NULL,H
2060,אלה,<sup>ʔ</sup>áláh,אלה,ZWEREN,NULL,NULL,H
2061,אלול,<sup>ʔ</sup>-l-w-l,אלול,ELUL,NULL,NULL,H
2062,אליה,<sup>ʔ</sup>-l-j-h,אליה,VETTE+STAART,NULL,NULL,H
2063,אלל,<sup>ʔ</sup>-l-l,אלל,NUTTELOOS,NULL,NULL,H
2064,אלך,<sup>ʔ</sup>-l-k,אלכ,"DEZE (mv, Ar.)",NULL,NULL,H
2065,אלה,<sup>ʔ</sup>áláh,אלה,NIET+LUKKEN,NULL,NULL,H
2066,אלמג,<sup>ʔ</sup>-l-m-g,אלמג,ALGUM,NULL,NULL,H
2067,כנע,kána<sup>ʕ</sup>,כנע,OOTMOEDIG,NULL,NULL,H
2068,שׁכך,s<sup>h</sup>ác<sup>h</sup>ac<sup>h</sup>,שככ,ZAKKEN,NULL,NULL,H
2069,סלף,sálaf,סלפ,OMVERWERPEN,NULL,NULL,H
2070,כשׁר,kás<sup>h</sup>ar,כשר,SLAGEN (lukken),NULL,NULL,H
2071,ינק,jánaq,ינק,ZUIGEN,NULL,NULL,H
2072,פתאם,p-t<sup>h</sup>-<sup>ʔ</sup>-m,פתאמ,PLOTSELING,NULL,NULL,H
2073,פדר,p-d-r,פדר,NIERVET,NULL,NULL,H
2074,דיי,d-j-j,דיי,VOLDOENDE,NULL,NULL,H
2075,דיו,d-j-w,דיו,INKT,NULL,NULL,H
2076,גפר,g-p-r,גפר,GOFER,NULL,NULL,H
2077,גפרת,g-p-r-t<sup>h</sup>,גפרת,ZWAVEL,NULL,NULL,H
2078,בתר,bá-t<sup>h</sup>ar,בתר,IN+STUKKEN+SNIJDEN,NULL,NULL,H
2079,אגם,<sup>ʔ</sup>-g-m,אגמ,RIETPOEL,NULL,NULL,H
2080,גמם,g-m-m,גממ,OVERVLOEDIG,NULL,NULL,H
2081,גמא,gámá<sup>ʔ</sup>,גמא,SLOKKEN,NULL,NULL,H
2082,שׁטר,s<sup>h</sup>átar,שטר,BEAMBTE,NULL,NULL,H
2083,סמך,sámac<sup>h</sup>,סמכ,STEUNEN,NULL,NULL,H
2084,כחד,ká<sup>c</sup>had,כחד,UITWISSEN,NULL,NULL,H
2085,יתר,já-t<sup>h</sup>ar,יתר,OVERLATEN,NULL,NULL,H
2086,פסג,pásag,פסג,DOORHEEN+GAAN,NULL,NULL,H
2087,חתל,<sup>c</sup>há-t<sup>h</sup>al,חתל,ZWACHTELEN,NULL,NULL,H
2088,טפף,táfaf,טפפ,TRIPPELEN,NULL,NULL,H
2089,בלע,bála<sup>ʕ</sup>,בלע,VERZWELGEN,NULL,NULL,H
2090,לעע,lá<sup>ʕ</sup>a<sup>ʕ</sup>,לעע,ONDOORDACHT+PRATEN,NULL,NULL,H
2091,לעע,lá<sup>ʕ</sup>a<sup>ʕ</sup>,לעע,SLURPEN,NULL,NULL,H
2092,שׁרץ,s<sup>h</sup>ára<sup>t</sup>s,שרצ,WEMELEN,NULL,NULL,H
2093,צבת,<sup>t</sup>s-b-t<sup>h</sup>,צבת,BOSJE+IN+HAND,NULL,NULL,H
2094,זוע,zu<sup>ʕ</sup>,זוע,SIDDEREN,NULL,NULL,H
2095,יזע,j-z-<sup>ʕ</sup>,יזע,ZWETEN,NULL,NULL,H
2096,מתק,má-t<sup>h</sup>aq,מתק,ZOET,NULL,NULL,H
2097,בצק,bá<sup>t</sup>saq,בצק,OPZWELLEN,NULL,NULL,H
2098,סוס,s-w-s,סוס,PAARD,NULL,NULL,H
2099,סיס,s-j-s,סיס,ZWALUW,NULL,NULL,H
2100,סס,s-s,סס,MOT,NULL,NULL,H
2101,חזיר,<sup>c</sup>h-z-j-r,חזיר,ZWIJN,NULL,NULL,H
2102,עלף,<sup>ʕ</sup>álaf,עלפ,HUID+BEDEKKEN,NULL,NULL,H
2103,דאה,dá<sup>ʔ</sup>áh,דאה,SNEL+VLIEGEN,NULL,NULL,H
2104,שׁקמה,s<sup>h</sup>-q-m-h,שקמה,MOERBEIVIJG,NULL,NULL,H
2105,שׁכן,s<sup>h</sup>ác<sup>h</sup>an,שכנ,VESTIGEN,NULL,NULL,H
2106,שׁלחן,s<sup>h</sup>-l-<sup>c</sup>h-l,שלחנ,TAFEL,NULL,NULL,H
2107,זנב,zánav,זנב,STAART,NULL,NULL,H
2108,לקח,láqa<sup>c</sup>h,לקח,NEMEN,NULL,NULL,H
2109,קח,q-<sup>c</sup>h,קח,PLANT,NULL,NULL,H
2110,בטא,bátá<sup>ʔ</sup>,בטא,ONBEZONNEN+SPREKEN,NULL,NULL,H
2111,אשׁל,<sup>ʔ</sup>-s<sup>h</sup>-l,אשל,TAMARISK,NULL,NULL,H
2112,תפף,táfaf,תפפ,SLAAN (voor geluid),NULL,NULL,H
2113,סבך,sávac<sup>h</sup>,סבכ,VERSTRENGELEN,NULL,NULL,H
2114,שׂבכא,sׂ-b-k-<sup>ʔ</sup>,שבכא,LUIT,NULL,NULL,H
2115,חכה,<sup>c</sup>hác<sup>h</sup>áh,חכה,AFWACHTEN,NULL,NULL,H
2116,חכה,<sup>c</sup>hác<sup>h</sup>áh,חכה,VISHAAK,NULL,NULL,H
2117,טעם,tá<sup>ʕ</sup>am,טעמ,PROEVEN,NULL,NULL,H
2118,גדף,gádaf,גדפ,BESCHIMPEN,NULL,NULL,H
2119,קרע,qára<sup>ʕ</sup>,קרע,SCHEUREN,NULL,NULL,H
2120,פשׁח,pás<sup>h</sup>a<sup>c</sup>h,פשח,VERSCHEUREN,NULL,NULL,H
2121,נסח,nása<sup>c</sup>h,נסח,ERUIT+SCHEUREN,NULL,NULL,H
2122,סוח,s-w-<sup>c</sup>h,סוח,AFVAL,NULL,NULL,H
2123,דמע,dáma<sup>ʕ</sup>,דמע,TRANEN+DRUPPELEN,NULL,NULL,H
2124,רשׁה,r-s<sup>h</sup>-h,רשה,TOESTAAN,NULL,NULL,H
2125,רשׁשׁ,rás<sup>h</sup>as<sup>h</sup>,רשש,AAN+STUKKEN+SLAAN,NULL,NULL,H
2126,ירך,j-r-k,ירכ,ACHTERKANT,NULL,NULL,H
2127,רכך,rác<sup>h</sup>ac<sup>h</sup>,רככ,ZACHT,NULL,NULL,H
2128,אהל,<sup>ʔ</sup>áhal,אהל,TENT,NULL,NULL,H
2129,אהל,<sup>ʔ</sup>áhal,אהל,ALOE,NULL,NULL,H
2130,דחל,dá<sup>c</sup>hal,דחל,VREZEN (Ar),NULL,NULL,H
2131,ערץ,<sup>ʕ</sup>ára<sup>t</sup>s,ערצ,VERSCHRIKKEN,NULL,NULL,H
2132,ערוץ,<sup>ʕ</sup>-r-w-<sup>t</sup>s,ערוצ,AFGROND,NULL,NULL,H
2133,בחן,bá<sup>c</sup>han,בחנ,TESTEN,NULL,NULL,H
2134,bḫn,bḫn,bḫn,WACHTTOREN,NULL,NULL,NULL
2145,חח,<sup>c</sup>h-<sup>c</sup>h,חח,HAAK,NULL,NULL,H
2136,דהי,d-h-j,דהי,DEHAVIET,NULL,NULL,H
2137,כי,k-j,כי,DAT,NULL,NULL,H
2138,אז,<sup>ʔ</sup>-z,אז,DAN,NULL,NULL,H
2139,עבה,<sup>ʕ</sup>áváh,עבה,DIK,NULL,NULL,H
2140,עב,<sup>ʕ</sup>-b,עב,AFDAK,NULL,NULL,H
2141,עוב,<sup>ʕ</sup>uv,עוב,BEWOLKEN,NULL,NULL,H
2142,דקק,dáqaq,דקק,VERPULVEREN,NULL,NULL,H
2143,דיק,d-j-q,דיק,BELEGERINGSWAL,NULL,NULL,H
2144,הלז,h-l-z,הלז,DEZE+HIER,NULL,NULL,H
2146,נעץ,n-<sup>ʕ</sup>-<sup>t</sup>s,נעצ,INSTEKEN,NULL,NULL,H
2147,סנה,s-n-h,סנה,STRUIK,NULL,NULL,H
2148,סנסנה,s-n-s-n-h,סנסנה,DADELTROS,NULL,NULL,H
2149,שׁלשׁ,s<sup>h</sup>álas<sup>h</sup>,שלש,DRIE,NULL,NULL,H
2150,adru,adru,adru,SCHUUR,NULL,NULL,NULL
2151,דושׁ,dus<sup>h</sup>,דוש,VERTRAPPELEN,NULL,NULL,H
2152,מורג,m-w-r-g,מורג,DORSSLEDE,NULL,NULL,H
2153,עגר,<sup>ʕ</sup>-g-r,עגר,GIERZWALUW,NULL,NULL,H
2154,לפת,láfa-t<sup>h</sup>,לפת,OMSLAAN,NULL,NULL,H
2155,ילפת,j-l-p-t<sup>h</sup>,ילפת,HUIDKORST,NULL,NULL,H
2156,שׁעטה,s<sup>h</sup>-<sup>ʕ</sup>-t-h,שעטה,GESTAMP (paarden),NULL,NULL,H
2157,בהן,b-h-l,בהנ,DUIM,NULL,NULL,H
2158,רעם,rá<sup>ʕ</sup>am,רעמ,DREUNEN,NULL,NULL,H
2159,רעם,rá<sup>ʕ</sup>am,רעמ,MANEN (paard),NULL,NULL,H
2160,להם,láham,להמ,WEGSLIKKEN,NULL,NULL,H
2161,בשׂר,básar,בשר,TIJDING+BRENGEN,NULL,NULL,H
2162,קשׁר,qás<sup>h</sup>ar,קשר,KNOPEN,NULL,NULL,H
2163,שׁנס,s<sup>h</sup>ánas,שנס,SCHORTEN,NULL,NULL,H
2164,ניר,nájar,ניר,WEVERSBOOM,NULL,NULL,H
2165,אמר,<sup>ʔ</sup>ámar,אמר,BOOMTOP,NULL,NULL,H
2166,עמל,<sup>ʕ</sup>ámal,עמל,ZWOEGEN,NULL,NULL,H
2167,לשׁן,lás<sup>h</sup>an,לשנ,TONG,NULL,NULL,H
2168,תרשׁישׁ,t<sup>h</sup>-r-s<sup>h</sup>-j-s<sup>h</sup>,תרשיש,TARSIS,NULL,NULL,H
2169,לפיד,l-p-j-d,לפיד,FLIKKERING,NULL,NULL,H
2170,פוג,pug,פוג,VERSLAPPEN,NULL,NULL,H
2171,עקל,<sup>ʕ</sup>áqal,עקל,KRONKELEN,NULL,NULL,H
2172,מעד,má<sup>ʕ</sup>ad,מעד,ONSTEVIG+STAAN,NULL,NULL,H
2173,נגע,nága<sup>ʕ</sup>,נגע,AANRAKEN,NULL,NULL,H
2174,אנתה,<sup>ʔ</sup>-n-t<sup>h</sup>-h,אנתה,JIJ,NULL,NULL,H
2175,נתב,n-t<sup>h</sup>-b,נתב,PAD,NULL,NULL,H
2176,רכל,rác<sup>h</sup>al,רכל,HANDELEN,NULL,NULL,H
2177,רכיל,r-k-j-l,רכיל,LASTERAAR,NULL,NULL,H
2178,רמס,rámas,רמס,VERTREDEN,NULL,NULL,H
2179,בוס,bus,בוס,MET+VOETEN+TREDEN,NULL,NULL,H
2180,שׁבס,s<sup>h</sup>-b-s,שבס,GRAANBELASTING,NULL,NULL,H
2181,שׁאן,s<sup>h</sup>á<sup>ʔ</sup>án,שאנ,ZORGELOOS,NULL,NULL,H
2182,פשׁע,pás<sup>h</sup>a<sup>ʕ</sup>,פשע,AFVALLEN,NULL,NULL,H
2183,חלד,<sup>c</sup>h-l-d,חלד,LEVENSDUUR,NULL,NULL,H
2184,חלד,<sup>c</sup>h-l-d,חלד,BLINDMUIS,NULL,NULL,H
2185,שׁתל,s<sup>h</sup>á-t<sup>h</sup>al,שתל,TRANSPLANTEREN,NULL,NULL,H
2186,נטל,nátal,נטל,OPTILLEN,NULL,NULL,H
2187,דרך,dárac<sup>h</sup>,דרכ,TREDEN (lopen),NULL,NULL,H
2188,עסס,<sup>ʕ</sup>ásas,עסס,UITPERSEN,NULL,NULL,H
2189,אצר,<sup>ʔ</sup>á<sup>t</sup>sar,אצר,OPSPAREN,NULL,NULL,H
2190,חרד,<sup>c</sup>hárad,חרד,RILLEN (van angst),NULL,NULL,H
2191,רטט,r-t-t,רטט,PANIEK,NULL,NULL,H
2192,התל,há-t<sup>h</sup>al,התל,MISLEIDEN,NULL,NULL,H
2193,עכר,<sup>ʕ</sup>ác<sup>h</sup>ar,עכר,VERSTOREN,NULL,NULL,H
2194,עקד,<sup>ʕ</sup>áqad,עקד,SAMENBINDEN (benen/armen),NULL,NULL,H
2195,כפת,káfa-t<sup>h</sup>,כפת,VASTBINDEN (Ar),NULL,NULL,H
2196,בטח,báta<sup>c</sup>h,בטח,VERTROUWEN,NULL,NULL,H
2197,שׁאה,s<sup>h</sup>á<sup>ʔ</sup>áh,שאה,DRUISEN,NULL,NULL,H
2198,כתן,k-t<sup>h</sup>-l,כתנ,TUNIEK,NULL,NULL,H
2199,פטשׁ,p-t-s<sup>h</sup>,פטש,KLEDINGSTUK (opgebonden),NULL,NULL,H
2200,חמר,<sup>c</sup>hámar,חמר,ASFALT,NULL,NULL,H
2201,חמר,<sup>c</sup>hámar,חמר,ROOD+KLEUREN,NULL,NULL,H
2202,חמר,<sup>c</sup>hámar,חמר,GISTEN,NULL,NULL,H
2203,הפך,háfac<sup>h</sup>,הפכ,OMKEREN,NULL,NULL,H
2204,סוג,sug,סוג,AFDRAAIEN,NULL,NULL,H
2205,נשׂג,násag,נשג,INHALEN,NULL,NULL,H
2206,תר,t<sup>h</sup>-r,תר,TORTELDUIF,NULL,NULL,H
2207,פרט,párat,פרט,PLOKKEN,NULL,NULL,H
2208,חטר,<sup>c</sup>h-t-r,חטר,TWIJG,NULL,NULL,H
2209,תאם,tá<sup>ʔ</sup>am,תאמ,TWEELING,NULL,NULL,H
2210,צנף,<sup>t</sup>sánaf,צנפ,INWIKKELEN,NULL,NULL,H
2211,פתל,pá-t<sup>h</sup>al,פתל,STRENGELEN,NULL,NULL,H
2212,קרץ,qára<sup>t</sup>s,קרצ,KNIJPEN,NULL,NULL,H
2213,זיז,z-j-z,זיז,TEPEL,NULL,NULL,H
2214,זיז,z-j-z,זיז,BEEST,NULL,NULL,H
2215,ערל,<sup>ʕ</sup>áral,ערל,ONBESNEDEN,NULL,NULL,H
2216,טמא,támá<sup>ʔ</sup>,טמא,ONREIN,NULL,NULL,H
2217,פקח,páqa<sup>c</sup>h,פקח,OPENEN (oren/ogen),NULL,NULL,H
2218,תחת,t<sup>h</sup>-<sup>c</sup>h-t<sup>h</sup>,תחת,ONDER,NULL,NULL,H
2219,בסר,b-s-r,בסר,ONRIJP,NULL,NULL,H
2220,תמך,támac<sup>h</sup>,תמכ,BEETHOUDEN,NULL,NULL,H
2221,פצר,pá<sup>t</sup>sar,פצר,AANDRINGEN,NULL,NULL,H
2222,חצף,<sup>c</sup>há<sup>t</sup>saf,חצפ,WREED (bevel),NULL,NULL,H
2223,נחץ,ná<sup>c</sup>ha<sup>t</sup>s,נחצ,DRINGEND,NULL,NULL,H
2224,שׁין,s<sup>h</sup>-j-l,שינ,URINEREN,NULL,NULL,H
2225,צנצנת,<sup>t</sup>s-n-<sup>t</sup>s-n-t<sup>h</sup>,צנצנת,CONTAINER,NULL,NULL,H
2226,בהו,b-h-w,בהו,LEEGTE,NULL,NULL,H
2227,דשׁא,dás<sup>h</sup>a<sup>ʔ</sup>,דשא,GROEN+GROEIEN,NULL,NULL,H
2228,עים,<sup>ʕ</sup>-j-m,עימ,GLOED,NULL,NULL,H
2229,צעף,<sup>t</sup>s-<sup>ʕ</sup>-p,צעפ,DUBBELVOUWEN,NULL,NULL,H
2230,קשׁת,q-s<sup>h</sup>-t<sup>h</sup>,קשת,BOOGSCHUTTER,NULL,NULL,H
2231,קשׁט,q-s<sup>h</sup>-t,קשט,WAAR,NULL,NULL,H
2232,קשׂט,q-sׂ-t,קשט,OPDELEN (wegen),NULL,NULL,H
2233,כרמיל,k-r-m-j-l,כרמיל,KARMOZIJN,NULL,NULL,H
2234,אפד,<sup>ʔ</sup>áfad,אפד,PRIESTERKLEED,NULL,NULL,H
2235,apadāna,apadāna,apadāna,ZUILENHAL,NULL,NULL,NULL
2236,כעס,ká<sup>ʕ</sup>as,כעס,ERGEREN,NULL,NULL,H
2237,רחף,rá<sup>c</sup>haf,רחפ,FLADDEREN,NULL,NULL,H
2238,tārash,tārash,tārash,GEKNIPT,NULL,NULL,NULL
2239,יכח,jác<sup>h</sup>a<sup>c</sup>h,יכח,RECHT+VERKRIJGEN,NULL,NULL,H
2240,כח,k-<sup>c</sup>h,כח,VARAAN,NULL,NULL,H
2241,נכח,n-k-<sup>c</sup>h,נכח,RECHTDOOR,NULL,NULL,H
2242,פגל,p-g-l,פגל,VERWERPELIJK,NULL,NULL,H
2243,פרז,p-r-z,פרז,AFZONDEREN,NULL,NULL,H
2244,גפן,g-p-l,גפנ,STRUIK (wijnstok),NULL,NULL,H
2245,בתל,b-t<sup>h</sup>-l,בתל,KUIS,NULL,NULL,H
2246,עטן,<sup>ʕ</sup>-t-l,עטנ,OLIJVEN+OPHOPEN,NULL,NULL,H
2247,בקק,báqaq,בקק,TE+GRONDE+RICHTEN,NULL,NULL,H
2248,נדר,nádar,נדר,GELOFTE,NULL,NULL,H
2249,נשׁר,n-s<sup>h</sup>-r,נשר,ROOFVOGEL (gier/arend),NULL,NULL,H
2250,והב,w-h-b,והב,GEVER,NULL,NULL,H
2251,ספד,sáfad,ספד,BETREUREN,NULL,NULL,H
2252,מתן,m-t<sup>h</sup>-l,מתנ,LENDENEN,NULL,NULL,H
2253,פלשׁ,pálas<sup>h</sup>,פלש,WENTELEN (in het stof),NULL,NULL,H
2254,gauz,gauz,gauz,WALNOOT,NULL,NULL,NULL
2255,כסף,kásaf,כספ,FLETS+WORDEN,NULL,NULL,H
2256,כסף,kásaf,כספ,ZILVER,NULL,NULL,H
2257,דדה,dádáh,דדה,LANGZAAM+VOORTGAAN,NULL,NULL,H
2258,נדד,nádad,נדד,WEGVLUCHTEN,NULL,NULL,H
2259,נוד,nud,נוד,ZWIEREN,NULL,NULL,H
2260,שׂקר,sáqar,שקר,LONKEN,NULL,NULL,H
2261,מלתחה,m-l-t<sup>h</sup>-<sup>c</sup>h-h,מלתחה,GARDEROBE,NULL,NULL,H
2262,חמם,<sup>c</sup>hámam,חממ,WARM,NULL,NULL,H
2263,חמא,<sup>c</sup>h-m-<sup>ʔ</sup>,חמא,ROOM,NULL,NULL,H
2264,חם,<sup>c</sup>h-m,חמ,SCHOONVADER,NULL,NULL,H
2265,חום,<sup>c</sup>h-w-m,חומ,BRUIN,NULL,NULL,H
2266,חמה,<sup>c</sup>h-m-h,חמה,BESCHERMEN,NULL,NULL,H
2267,חמן,<sup>c</sup>h-m-l,חמנ,WIEROOKALTAAR,NULL,NULL,H
2268,חמת,<sup>c</sup>h-m-t<sup>h</sup>,חמת,WATERZAK,NULL,NULL,H
2269,נחם,ná<sup>c</sup>ham,נחמ,TROOSTEN,NULL,NULL,H
2270,זהר,záhar,זהר,OPHELDEREN,NULL,NULL,H
2271,רחץ,rá<sup>c</sup>ha<sup>t</sup>s,רחצ,BADEN,NULL,NULL,H
