id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1410,חשׁל,<sup>c</sup>hás<sup>h</sup>al,חשל,ACHTERBLIJVEN,NULL,NULL,H
1411,חשׁל,<sup>c</sup>hás<sup>h</sup>al,חשל,VERPLETTEREN,NULL,NULL,H
1412,צפה,<sup>t</sup>sáfáh,צפה,OP+UITKIJK,NULL,NULL,H
1413,צפף,<sup>t</sup>sáfaf,צפפ,TSJILPEN,NULL,NULL,H
1414,צוף,<sup>t</sup>suf,צופ,STROMEN,NULL,NULL,H
1415,צפה,<sup>t</sup>sáfáh,צפה,BELEGGEN,NULL,NULL,H
1416,צפף,<sup>t</sup>sáfaf,צפפ,WILG,NULL,NULL,H
1417,עדף,<sup>ʕ</sup>ádaf,עדפ,OVERSCHIETEN,NULL,NULL,H
1418,סכות,s-k-w-t<sup>h</sup>,סכות,SIKKUT,NULL,NULL,H
1419,חפה,<sup>c</sup>háfáh,חפה,OVERSPREIDEN,NULL,NULL,H
1420,חפף,<sup>c</sup>háfaf,חפפ,OMVATTEN (beschermen),NULL,NULL,H
1421,חפף,<sup>c</sup>háfaf,חפפ,AFWASSEN,NULL,NULL,H
1422,יחף,j-<sup>c</sup>h-p,יחפ,BLOOTSVOETS,NULL,NULL,H
1423,שׂרע,sára<sup>ʕ</sup>,שרע,REKKEN,NULL,NULL,H
1424,כאב,ká<sup>ʔ</sup>av,כאב,PIJN,NULL,NULL,H
1425,צען,<sup>t</sup>sá<sup>ʕ</sup>an,צענ,OPBREKEN,NULL,NULL,H
1426,צמד,<sup>t</sup>sámad,צמד,OPBINDEN,NULL,NULL,H
1427,תמר,t<sup>h</sup>-m-r,תמר,PALM,NULL,NULL,H
1428,סחר,sá<sup>c</sup>har,סחר,RONDTREKKEN,NULL,NULL,H
1429,פנק,pánaq,פנק,VERTROETELEN,NULL,NULL,H
1430,פנג,p-n-g,פנג,ZOETIGHEID,NULL,NULL,H
1431,שׁרב,s<sup>h</sup>-r-b,שרב,SCHROEIENDE+HITTE,NULL,NULL,H
1432,סלח,sála<sup>c</sup>h,סלח,VERGEVEN,NULL,NULL,H
1433,לבא,l-b-<sup>ʔ</sup>,לבא,LEEUW (Aziatische),NULL,NULL,H
1434,pairidaēza,pairidaēza,pairidaēza,PARADIJS,NULL,NULL,NULL
1435,פרד,párad,פרד,SCHEIDEN,NULL,NULL,H
1436,שׂטר,sׂ-t-r,שטר,ZIJKANT,NULL,NULL,H
1437,נשׁא,nás<sup>h</sup>a<sup>ʔ</sup>,נשא,UITLENEN,NULL,NULL,H
1438,נשׁה,nás<sup>h</sup>ah,נשה,NIET+ONTHOUDEN,NULL,NULL,H
1439,נשׁה,nás<sup>h</sup>ah,נשה,HEUPZENUW,NULL,NULL,H
1440,נשׁת,nás<sup>h</sup>a-t<sup>h</sup>,נשת,VERDORREN,NULL,NULL,H
1441,שׁיה,s<sup>h</sup>ájah,שיה,ONBEWUST,NULL,NULL,H
1442,מעה,m-<sup>ʕ</sup>-h,מעה,KORREL,NULL,NULL,H
1443,עבר,<sup>ʕ</sup>ávar,עבר,VERDERGAAN,NULL,NULL,H
1444,חלף,<sup>c</sup>hálaf,חלפ,VOORBIJGAAN,NULL,NULL,H
1445,חלף,<sup>c</sup>hálaf,חלפ,DOORSTEKEN,NULL,NULL,H
1446,ארח,<sup>ʔ</sup>ára<sup>c</sup>h,ארח,WEG,NULL,NULL,H
1447,arāḫu,arāḫu,arāḫu,CONSUMEREN,NULL,NULL,NULL
1448,כרשׂ,k-r-sׂ,כרש,PENS,NULL,NULL,H
1449,רצף,rá<sup>t</sup>saf,רצפ,INLEGGEN,NULL,NULL,H
1450,נדה,nádáh,נדה,GENEREUS,NULL,NULL,H
1451,nadānu,nadānu,nadānu,GESCHENK,NULL,NULL,NULL
1452,תכיים,t<sup>h</sup>-k-j-j-m,תכיימ,PAUW,NULL,NULL,H
1453,בדלח,b-d-l-<sup>c</sup>h,בדלח,GOMHARS,NULL,NULL,H
1454,פצל,pá<sup>t</sup>sal,פצל,SCHILLEN,NULL,NULL,H
1455,שׁגח,s<sup>h</sup>ága<sup>c</sup>h,שגח,TUREN,NULL,NULL,H
1456,יתד,j-t<sup>h</sup>-d,יתד,PIN,NULL,NULL,H
1457,רגם,rágam,רגמ,STENEN+OPHOPEN,NULL,NULL,H
1458,עט,<sup>ʕ</sup>-t,עט,PEN,NULL,NULL,H
1459,guḫlu,guḫlu,guḫlu,SCHMINKEN,NULL,NULL,NULL
1460,חדה,<sup>c</sup>hádáh,חדה,BORSTSTUK,NULL,NULL,H
1461,ḫḏḏ,ḫḏḏ,ḫḏḏ,DONDERWOLKEN,NULL,NULL,NULL
1462,מחוז,m-<sup>c</sup>h-w-z,מחוז,HAVEN,NULL,NULL,H
1463,חול,<sup>c</sup>hul,חול,OMDRAAIEN,NULL,NULL,H
1464,חיל,<sup>c</sup>hájal,חיל,RILLEN (barensnood),NULL,NULL,H
1469,חלל,<sup>c</sup>hálal,חלל,ONTWIJDEN,NULL,NULL,H
1466,חלה,<sup>c</sup>háláh,חלה,AFGEMAT,NULL,NULL,H
1467,חול,<sup>c</sup>hul,חול,ZAND,NULL,NULL,H
1468,חיל,<sup>c</sup>hájal,חיל,KRACHT,NULL,NULL,H
1470,חלה,<sup>c</sup>háláh,חלה,VERSIEREN,NULL,NULL,H
1471,יחל,já<sup>c</sup>hal,יחל,WACHTEN,NULL,NULL,H
1472,נחל,ná<sup>c</sup>hal,נחל,WADI,NULL,NULL,H
1473,חלכה,<sup>c</sup>h-l-k-h,חלכה,ARMZALIG,NULL,NULL,H
1474,כאה,ká<sup>ʔ</sup>áh,כאה,ONTMOEDIGEN,NULL,NULL,H
1475,פטדה,p-t-d-h,פטדה,TOPAAS,NULL,NULL,H
1476,אבד,<sup>ʔ</sup>ávad,אבד,VERDWALEN,NULL,NULL,H
1477,טרד,tárad,טרד,DOORDRUPPELEN,NULL,NULL,H
1478,עקשׁ,<sup>ʕ</sup>áqas<sup>h</sup>,עקש,VERDRAAIEN,NULL,NULL,H
1479,גרם,gáram,גרמ,KLUIVEN,NULL,NULL,H
1480,נקר,náqar,נקר,UITSTEKEN,NULL,NULL,H
1481,קרה,qáráh,קרה,BALK,NULL,NULL,H
1482,קרר,qárar,קרר,NEERHALEN,NULL,NULL,H
1483,קור,qur,קור,OMKRULLEN,NULL,NULL,H
1484,לקט,láqat,לקט,OPRAPEN,NULL,NULL,H
1485,נתח,ná-t<sup>h</sup>a<sup>c</sup>h,נתח,STUKKEN+DELEN,NULL,NULL,H
1486,נקב,náqav,נקב,DOORBOREN,NULL,NULL,H
1487,קבב,qávav,קבב,STEVIG+ROND,NULL,NULL,H
1488,קבה,q-b-h,קבה,HOL (inwendig),NULL,NULL,H
1489,צבר,<sup>t</sup>sávar,צבר,OPHOPEN,NULL,NULL,H
1490,טחר,t-<sup>c</sup>h-r,טחר,AAMBEI,NULL,NULL,H
1491,צנק,<sup>t</sup>s-n-q,צנק,VASTMAKEN,NULL,NULL,H
1492,מלק,málaq,מלק,AFKNIJPEN,NULL,NULL,H
1493,אדב,<sup>ʔ</sup>ádav,אדב,WEGKWIJNEN,NULL,NULL,H
1494,בטן,b-t-l,בטנ,PISTACHE,NULL,NULL,H
1495,גומץ,g-w-m-<sup>t</sup>s,גומצ,KUIL,NULL,NULL,H
1496,שׂים,sájam,שימ,PLAATSEN,NULL,NULL,H
1497,ישׁם,j-s<sup>h</sup>-m,ישמ,SLECHTE+GROND,NULL,NULL,H
