vid,Woord,id
10018017,30,3862
10018017,31,27407
10018017,32,62431
10018018,8,201
10018018,9,11434
10018018,10,62422
10018020,27,1634
10019007,28,43231
10019019,16,195
10019019,17,19152
10019019,18,62411
10019032,19,648
10019032,20,39248
10019041,16,32209
10020005,8,778
10020005,9,50315
10020008,23,779
10020008,24,1709
10020008,25,62411
10020014,15,778
10020014,16,70388
10020023,13,648
10020023,14,82977
10020025,1,780
10020025,2,84050
10021004,8,3781
10021004,9,62543
10021006,1,7297
10021009,19,26457
10021009,20,62748
10021009,22,779
10021009,23,29275
10021009,31,199
10021009,32,38864
10021012,28,78007
10021012,29,62748
10021012,30,11890
10021012,31,35805
10021016,1,779
10021016,2,84074
10021020,10,84098
10021021,10,83726
10022008,1,778
10022008,2,84192
10022015,8,778
10022015,9,65676
10022023,3,39911
10022023,4,62411
10022033,9,23640
10022033,10,62511
10022034,2,32896
10022034,3,62494
10022051,1,84339
10023008,18,651
10023008,19,84368
10023008,26,4350
10023009,1,779
10023009,2,28379
10023009,3,62411
10023009,6,80893
10023009,11,648
10023009,12,29335
10023013,3,28254
10023018,9,648
10023018,10,28255
10023020,7,56189
10023020,24,652
10023020,25,75223
10023021,7,17772
10023035,1,84432
10023037,7,26128
10024014,17,59710
10024014,18,62411
10024016,38,652
10024016,39,84483
10024018,22,84483
10024022,15,195
10024022,16,19152
10024022,17,62411
11001027,17,35180
11001027,18,62593
11001037,11,1220
11001047,18,460
11002024,8,778
11002024,9,26833
11002024,10,62477
11004007,25,652
11004007,26,4306
11005017,32,32904
11005017,33,62510
11006005,7,84694
11006006,1,648
11006006,2,84695
11006010,4,648
11006010,5,84696
11006016,6,5248
11006016,7,61437
11006021,13,195
11006021,14,84730
11006038,26,39916
11006038,27,62411
11007020,18,648
11007020,19,84869
11007023,26,779
11007023,27,84906
11007036,10,68763
11007036,11,62806
11007045,18,652
11007045,19,10054
11008026,7,36369
11008026,8,62593
11008048,42,17358
11009009,23,778
11009009,24,43482
11009018,6,85032
11010005,11,58119
11010005,12,62411
11012003,7,778
11012003,8,15845
11012007,1,778
11012007,2,33423
11012012,1,778
11012012,2,15833
11012021,1,778
11012021,2,15846
11012033,24,5229
11012033,25,29655
11012033,26,62412
11014002,15,38230
11014025,13,85204
11015015,7,779
11015015,8,63496
11015018,21,648
11015018,22,39405
11016019,2,24843
11016019,3,62422
11016026,9,780
11016026,10,201
11016026,11,24785
11016026,12,62412
11016034,17,780
11016034,18,202
11016034,19,85474
11017014,20,7335
11017015,10,12692
11017015,11,781
11017015,12,62337
11018036,32,780
11018036,33,202
11018036,34,36373
11018036,35,62576
11018042,24,53216
11018042,25,62431
11019004,15,4295
11020041,8,5271
11020041,9,1710
11021008,14,28141
11021021,3,15558
11021029,17,15490
11022013,27,36373
11022013,28,62603
11022049,2,5108
11022049,15,45852
12002016,37,648
12002016,38,74646
12003024,18,778
12003024,19,26588
12004002,15,3769
12004002,16,62674
12004003,14,63622
12004003,15,62674
12004005,22,52625
12004007,19,85802
12004007,20,62674
12004007,23,780
12004007,24,21065
12004007,25,62674
12004016,12,38230
12004023,4,38216
12004023,5,13305
12004034,25,32838
12004034,26,62411
12005009,4,195
12005009,5,60583
12005009,6,62411
12005012,4,85839
12005018,35,70706
12005025,14,5271
12005025,15,52810
12006010,15,779
12006010,16,67159
12006010,17,62414
12006025,23,85872
12007012,32,196
12007012,33,650
12007012,34,10241
12007013,26,42981
