id,vidBegin,Woord,type,par,cit
700,66004011,-1,q*,0,0
701,66005001,,p,1,0
702,66005006,,p,1,0
703,66005008,,p,1,0
704,66005009,7,qml,0,0
705,66005009,7,in,0,0
707,66005009,18,in*,0,0
708,66005009,18,in,0,0
709,66005009,29,in*,0,0
710,66005009,29,in,0,0
711,66005009,-1,in*,0,0
712,66005010,,in,0,0
713,66005010,12,in*,0,0
714,66005010,12,in,0,0
715,66005010,-1,in*,0,0
716,66005010,-1,qml*,0,0
717,66005012,6,q,0,1
718,66005012,6,in,0,0
719,66005012,12,in*,0,0
720,66005012,12,in,0,0
721,66005012,22,in,0,0
722,66005012,22,in*,0,0
723,66005012,-1,in*,0,0
724,66005012,-1,q*,0,0
725,66005013,29,q,0,1
726,66005013,29,in,0,0
727,66005013,35,in,0,0
728,66005013,35,in*,0,0
729,66005013,37,in*,0,0
730,66005013,37,in,0,0
731,66005013,49,in*,0,0
732,66005013,49,in,0,0
733,66005013,-1,in*,0,0
734,66005013,-1,q*,0,0
735,66006001,,p,1,0
736,66006002,,p,1,0
737,66006003,,p,1,0
738,66006005,,p,1,0
739,66006007,,p,1,0
740,66006009,,p,1,0
741,66006012,,p,1,0
742,66006014,,p,1,0
743,66007001,,p,1,0
744,66007002,,p,1,0
745,66007009,,p,1,0
746,66007010,7,q,0,1
747,66007010,7,in,0,0
748,66007010,14,in*,0,0
749,66007010,14,in,0,0
750,66007010,19,in*,0,0
751,66007010,19,in,0,0
752,66007010,-1,in*,0,0
753,66007010,-1,q*,0,0
754,66008001,,p,1,0
755,66008002,,p,1,0
756,66008003,,p,1,0
757,66008006,,p,1,0
758,66008007,,p,1,0
759,66008008,,p,1,0
760,66008010,,p,1,0
761,66008012,,p,1,0
762,66009001,,p,1,0
763,66009012,,p,1,0
764,66009013,,p,1,0
765,66010001,,p,1,0
767,66010008,,p,1,0
768,66011001,,p,1,0
769,66011014,,p,1,0
770,66011015,,p,1,0
771,66011016,,p,1,0
772,66011019,,p,1,0
773,66012001,,p,1,0
774,66012003,,p,1,0
775,66012013,,p,1,0
776,66013001,,p,1,0
777,66013009,,p,1,0
778,66013011,,p,1,0
779,66013013,,p,1,0
780,66013016,,p,1,0
781,66013018,,p,1,0
782,66014001,,p,1,0
783,66014006,,p,1,0
784,66014008,,p,1,0
785,66014009,,p,1,0
786,66014013,,p,1,0
787,66014014,,p,1,0
788,66014016,,p,1,0
789,66014017,,p,1,0
790,66015001,,p,1,0
791,66015002,,p,1,0
792,66015003,16,qml,0,0
793,66015003,16,in,0,0
794,66015003,28,in*,0,0
795,66015003,28,in,0,0
796,66015003,-1,in*,0,0
797,66015004,,in,0,0
798,66015004,8,in*,0,0
799,66015004,8,in,0,0
800,66015004,13,in*,0,0
801,66015004,13,in,0,0
802,66015004,17,in*,0,0
803,66015004,17,in,0,0
804,66015004,27,in*,0,0
805,66015004,27,in,0,0
807,66015004,-1,in*,0,0
808,66015004,-1,qml*,0,0
809,66015004,13,tab,0,0
810,66015004,27,tab,0,0
812,66017001,,p,1,0
813,66017005,9,qc,0,0
814,66017005,-1,in*,0,0
815,66017005,9,in,0,0
816,66017005,10,in*,0,0
817,66017005,10,in,0,0
818,66017005,14,in*,0,0
819,66017005,14,in,0,0
820,66017005,18,in*,0,0
821,66017005,18,in,0,0
822,66017005,21,in*,0,0
823,66017005,21,in,0,0
824,66017005,-1,qc*,0,0
826,66017009,,p,1,0
827,66017012,,p,1,0
828,66017015,,p,1,0
829,66017018,,p,1,0
830,66018001,,p,1,0
831,66018009,,p,1,0
832,66018011,,p,1,0
833,66018017,8,p,1,0
834,66018020,,p,1,0
835,66018021,,p,1,0
836,66019001,,p,1,0
837,66019004,,p,1,0
838,66019006,,p,1,0
839,66019009,,p,1,0
840,66019011,,p,1,0
841,66019019,,p,1,0
842,66020001,,p,1,0
843,66020006,,p,1,0
844,66020007,,p,1,0
845,66020011,,p,1,0
846,66020012,,p,1,0
847,66021001,,p,1,0
848,66021002,,p,1,0
849,66021005,,p,1,0
850,66021009,,p,1,0
851,66021015,,p,1,0
852,66022001,,p,1,0
853,66021022,,p,1,0
854,66021024,,p,1,0
855,66022003,,p,1,0
856,66022006,,p,1,0
857,66022008,,p,1,0
858,66022018,,p,1,0
859,66022016,,p,1,0
860,66022012,,p,1,0
861,66022010,,p,1,0
862,66022020,9,p,1,0
863,66022021,,p,1,0
864,66001010,,p,1,0
865,66002002,,p,1,0
866,66002013,,p,1,0
867,66002018,,p,1,0
868,66002019,,p,1,0
869,66003022,,p,1,0
870,66003019,,p,1,0
871,66003015,,p,1,0
872,66003014,,p,1,0
873,66003008,,p,1,0
874,66003007,,p,1,0
