id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
341,K/Q,12003024,18,19,18,19
342,K/Q,12004002,15,16,15,16
343,K/Q,12004003,14,15,14,15
344,K/Q,12004005,22,22,22,22
345,K/Q,12004007,19,20,19,20
346,K/Q,12004007,23,24,23,25
347,K/Q,12004016,12,12,12,12
348,K/Q,12004023,4,5,4,5
349,K/Q,12004034,25,26,25,26
350,K/Q,12005009,4,6,4,6
351,K/Q,12005012,4,4,4,4
352,K/Q,12005018,35,36,35,35
353,K/Q,12005025,14,15,14,15
354,K/Q,12006010,15,17,15,17
355,K/Q,12006025,23,23,23,23
356,K/Q,12007012,32,34,32,34
357,K/Q,12007013,26,27,26,26
358,K/Q,12007015,20,22,20,22
359,K/Q,12008001,17,17,17,17
360,K/Q,12008010,8,8,8,9
361,K/Q,12008017,12,12,12,12
362,K/Q,12009015,39,40,39,40
363,K/Q,12009025,5,5,5,6
364,K/Q,12009033,3,4,3,4
365,K/Q,12009037,1,2,1,2
366,K/Q,12010027,16,17,16,17
367,K/Q,12011001,5,6,5,5
368,K/Q,12011002,23,24,23,24
369,K/Q,12011004,13,14,13,14
370,K/Q,12011009,4,5,4,5
371,K/Q,12011010,7,8,7,8
372,K/Q,12011015,8,9,8,9
373,K/Q,12011018,14,15,14,15
374,K/Q,12011020,19,19,19,20
375,K/Q,12012010,21,22,21,22
376,K/Q,12012012,9,9,9,9
377,K/Q,12012012,13,14,13,14
378,K/Q,12013006,9,9,9,9
379,K/Q,12014002,22,22,22,22
380,K/Q,12014006,37,37,37,37
381,K/Q,12014007,7,7,7,7
382,K/Q,12014012,10,12,10,12
383,K/Q,12014013,17,18,16,17
384,K/Q,12015025,18,18,18,19
385,K/Q,12016006,21,22,21,22
386,K/Q,12016015,1,3,1,2
387,K/Q,12016017,16,17,16,16
388,K/Q,12016018,3,3,3,3
389,K/Q,12017013,12,13,12,12
390,K/Q,12017016,14,14,14,14
391,K/Q,12017021,14,15,14,15
392,K/Q,12017031,23,24,23,24
393,K/Q,12018027,38,39,37,38
394,K/Q,12018027,44,45,43,45
395,K/Q,12019023,9,10,9,10
396,K/Q,12019023,30,31,30,31
397,K/Q,12020004,6,7,6,6
398,K/Q,12020013,12,13,12,13
399,K/Q,12020018,11,11,11,11
400,K/Q,12021012,17,18,17,18
401,K/Q,12022005,1,3,1,3
402,K/Q,12022005,11,12,11,11
403,K/Q,12023010,9,9,9,9
404,K/Q,12023033,11,12,11,12
405,K/Q,12023036,21,21,21,21
406,K/Q,12024010,6,6,6,6
407,K/Q,12024014,17,17,17,17
408,K/Q,12024015,22,22,22,22
409,K/Q,12024018,21,21,21,21
410,K/Q,12025017,19,19,19,19
411,K/Q,13001011,5,5,5,5
412,K/Q,13001046,22,22,22,22
413,K/Q,13001051,11,11,11,11
414,K/Q,13002016,1,3,1,3
415,K/Q,13002055,4,4,4,4
416,K/Q,13003024,4,4,4,4
417,K/Q,13004007,5,5,5,6
418,K/Q,13004020,9,10,8,9
419,K/Q,13004041,20,21,20,21
420,K/Q,13006011,2,3,2,2
421,K/Q,13006020,2,2,2,2
422,K/Q,13007001,8,8,8,8
423,K/Q,13007010,8,8,8,8
424,K/Q,13007031,9,9,9,9
425,K/Q,13007034,5,7,5,8
426,K/Q,13008025,3,4,3,4
427,K/Q,13009004,9,10,9,10
428,K/Q,13009033,13,13,13,13
429,K/Q,13009035,7,7,7,7
430,K/Q,13011011,13,14,13,14
431,K/Q,13011017,1,2,1,2
432,K/Q,13011020,20,21,20,22
433,K/Q,13011044,5,6,5,6
434,K/Q,13012003,11,12,11,12
435,K/Q,13012006,10,11,10,11
436,K/Q,13012016,18,19,18,19
437,K/Q,13012019,7,8,7,8
438,K/Q,13014001,3,3,3,3
439,K/Q,13014010,11,11,11,11
440,K/Q,13015024,17,17,17,17
441,K/Q,13018010,11,12,11,12
442,K/Q,13020005,11,11,11,11
443,K/Q,13022007,6,7,6,7
444,K/Q,13023009,3,3,3,3
445,K/Q,13024024,7,7,7,7
446,K/Q,13025001,17,18,17,18
447,K/Q,13026025,21,22,21,22
448,K/Q,13027012,11,13,11,14
449,K/Q,13027029,10,10,10,10
450,K/Q,13029016,23,23,23,23
451,K/Q,14003017,21,22,21,22
452,K/Q,14004011,17,17,17,17
453,K/Q,14005012,45,45,45,45
454,K/Q,14005013,5,7,5,7
455,K/Q,14007006,38,38,38,38
456,K/Q,14008010,4,5,4,5
457,K/Q,14008018,10,10,10,10
458,K/Q,14009010,4,4,4,4
459,K/Q,14009029,28,28,28,28
460,K/Q,14011018,9,9,9,9
